"by","quote"
"A. France","Lebih baik mengerti sedikit daripada salah mengerti."
"Abraham Lincoln","Hampir semua pria memang mampu bertahan menghadapi kesulitan. Namun, jika Anda ingin menguji karakter sejati pria, beri dia kekuasaan."
"Aeschylus","Bila tekad seseorang kuat dan teguh, Tuhan akan bergabung dalam usahanya."
"Aesop","Penderitaan adalah pelajaran."
"Albert Einstein","Ilmu pengetahuan tanpa agama adalah pincang."
"Albert Einstein","Perbedaan masa lalu, sekarang, dan masa depan tak lebih dari ilusi yang keras kepala."
"Albert Einstein","Sebuah meja, sebuah kursi, semangkuk buah, dan sebuah biola; apa lagi yang dibutuhkan agar seseorang bisa merasa bahagia?."
"Albert Enstein","Belas kasihanlah terhadap sesama, bersikap keraslah terhadap diri sendiri."
"Alex Osborn","Cara paling baik untuk menggerakkan diri Anda ialah memberi tugas kepada diri sendiri."
"Alexander A. Bogomoletz","Kita tidak boleh kehilangan semangat. Semangat adalah stimulan terkuat untuk mencintai, berkreasi dan berkeinginan untuk hidup lebih lama."
"Alexander Solzhenitsyn","Manusia akan bahagia selama ia memilih untuk bahagia."
"Ali Javan","Saya tidak berharap menjadi segalanya bagi setiap orang. Saya hanya ingin menjadi sesuatu untuk seseorang."
"Ali bin Abi Thalib","Bahagialah orang yang dapat menjadi tuan untuk dirinya, menjadi kusir untuk nafsunya dan menjadi kapten untuk bahtera hidupnya."
"Ali bin Abi Thalib","Apabila sempurna akal seseorang, maka sedikit perkataannya."
"Ali bin Abi Thalib","Sahabat yang jujur lebih besar harganya daripada harta benda yang diwarisi dari nenek moyang."
"Anonim","Terbuka untuk Anda, begitulah Tuhan memberi kita jalan untuk berusaha. Jangan pernah berfikir jalan sudah tertutup."
"Anonim","Penundaan adalah kuburan dimana peluang dikuburkan."
"Antonie De Saint","Cinta bukan saling menatap mata, namun melihat ke arah yang sama bersama-sama."
"Aristoteles","Kita adalah apa yang kita kerjakan berulang kali. Dengan demikian, kecemerlangan bukan tindakan, tetapi kebiasaan."
"Arnold Glasow","Jangan pernah mencoba menjadikan putra atau putri Anda menjadi seperti Anda. Diri Anda hanya cukup satu saja."
"Art Buchwald","Jika Anda bisa membuat orang lain tertawa, maka Anda akan mendapatkan semua cinta yang Anda inginkan."
"Artemus Ward","Masalah akan datang cepat atau lambat. Jika masalah datang, sambut dengan sebaik mungkin. Semakin ramah Anda menyapanya, semakin cepat ia pergi."
"Ayn Rand","Orang-orang kreatif termotivasi oleh keinginan untuk maju, bukan oleh keinginan untuk mengalahkan orang lain."
"B. J. Habibie","Dimanapun engkau berada selalulah menjadi yang terbaik dan berikan yang terbaik dari yang bisa kita berikan."
"Balzac","Kebencian seperti halnya cinta, berkobar karena hal-hal kecil."
"Barbara Sher","Anda tidak perlu harus berhasil pada kali pertama."
"Beecher","Satu jam yang intensif, jauh lebih baik dan menguntungkan daripada bertahun-tahun bermimpi dan merenung-renung."
"Benjamin Disraeli","Hal terbaik yang bisa Anda lakukan untuk orang lain bukanlah membagikan kekayaan Anda, tetapi membantu dia untuk memiliki kekayaannya sendiri."
"Bill Clinton","Tidak ada jaminan keberhasilan, tetapi tidak berusaha adalah jaminan kegagalan."
"Bill Cosby","Aku tidak tahu kunci sukses itu apa, tapi kunci menuju kegagalan adalah mencoba membuat semua orang senang."
"Bill Gates","Konsumen yang paling tidak puas adalah sumber berharga untuk belajar."
"Bill Mccartney","Kita ada disini bukan untuk saling bersaing. Kita ada disini untuk saling melengkapi."
"Browning","Selalu baik untuk memaafkan, tapi yang paling baik adalah melupakan sebuah kesalahan."
"Bruce Lee","Jangan menjadi pohon kaku yang mudah patah. Jadilah bambu yang mampu bertahan melengkung melawan terpaan angin."
"Budha Gautama","Jangan menangis karena kegagalan cinta, sebab manusia akan meninggalkan semua yang dicintainya."
"Bunda Teresa","Jika Anda mengadili orang lain, Anda tak punya waktu untuk mencintai mereka."
"Bunda Teresa","Jika tidak ada perdamaian, hal itu disebabkan kita telah lupa bahwa kita saling membutuhkan."
"Bung Hatta","Kurang cerdas dapat diperbaiki dengan belajar, kurang cekatan dapat diperbaiki dengan pengalaman, kurang jujur sulit memperbaikinya."
"Burn","Banyak orang sukses berkat banyaknya kesulitan dan kesukaran yang mesti dihadapi."
"Carol Burnet","Hanya aku yang bisa merubah hidupku, tak ada seorang pun yang dapat melakukannya untukku."
"Charles R. Swindoll","Hidup adalah 10 persen yang terjadi kepada Anda, 90 persen bagaimana cara Anda menyikapinya."
"Ching Hai","Memperbaiki diri kita adalah memperbaiki dunia."
"Ching Hai","Jangan membeda-bedakan pekerjaan mana yang baik dan mana yang buruk. Masalah muncul jika kita membeda-bedakan dan memihak sesuatu."
"Ching Hai","Kita bekerja harus tanpa pamrih. Itu berlaku untuk segala pekerjaan. Pengabdian tanpa syarat adalah yang terbaik."
"Ching Hai","Kita harus menemukan kekuatan cinta dalam diri kita terlebih dahulu, barulah kita dapat benar-benar mencintai orang lain."
"Ching Hai","Carilah uang secukupnya saja untuk membiayai kehidupan, agar dapat menyisihkan waktu dan tenaga untuk melatih spiritual."
"Christopher Colombus","Harta benda tak membuat seseorang menjadi kaya raya, mereka hanya membuatnya lebih sibuk."
"Cicero","Hati yang penuh syukur, bukan saja merupakan kebajikan terbesar, melainkan induk dari segala kebajikan yang lain."
